"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
06001436500,06,001,436500,77.5,1.6178,1
06001436601,06,001,436601,79.2,1.5713,3
06001436602,06,001,436602,78.5,1.7942,3
06001436700,06,001,436700,81.1,1.5051,2
06001436800,06,001,436800,77.4,1.4119,3
06001436900,06,001,436900,79.7,2.1854,3
06001437000,06,001,437000,79.9,1.8675,3
06001437101,06,001,437101,81.4,1.7513,3
06001437102,06,001,437102,83.9,2.9055,3
06001437200,06,001,437200,80.7,1.5495,3
06001437300,06,001,437300,80.3,1.539,3
06001437400,06,001,437400,84.3,2.0601,3
06001437500,06,001,437500,77.1,1.5371,3
06001437600,06,001,437600,78,1.5931,3
06001437701,06,001,437701,75.3,1.8744,2
06001437800,06,001,437800,83.6,2.4247,3
06001437900,06,001,437900,80.6,2.3958,3
06001438000,06,001,438000,82.2,2.235,3
06001438100,06,001,438100,80.6,1.3693,3
06001438201,06,001,438201,80.8,2.4915,3
06001438203,06,001,438203,78.1,2.3764,3
06001438204,06,001,438204,77.9,1.3156,3
06001438300,06,001,438300,79.2,1.1144,2
06001438400,06,001,438400,78.5,1.5927,3
06001440100,06,001,440100,80.3,1.3019,3
06001440200,06,001,440200,82,1.9041,3
06001440301,06,001,440301,82.4,2.4056,3
06001440304,06,001,440304,79.9,1.2673,2
06001440305,06,001,440305,81.1,1.5871,3
06001440306,06,001,440306,86.3,3.1272,3
06001440307,06,001,440307,82.3,1.5043,3
06001440308,06,001,440308,81,1.137,3
06001440331,06,001,440331,86.8,3.4565,3
06001440332,06,001,440332,80.8,1.2004,2
06001440333,06,001,440333,81.2,1.2314,2
06001440334,06,001,440334,82.7,3.3925,3
06001440335,06,001,440335,81.3,2.9188,2
06001440336,06,001,440336,82.7,2.2718,3
06001441100,06,001,441100,79.9,1.334,3
06001441200,06,001,441200,82.8,1.6767,3
06001441301,06,001,441301,81.2,1.4314,2
06001441302,06,001,441302,86.7,2.0477,3
06001441401,06,001,441401,81.1,1.5649,3
06001441402,06,001,441402,84.7,2.2979,3
06001441501,06,001,441501,88.5,3.6818,3
06001441503,06,001,441503,81.5,2.0409,2
06001441521,06,001,441521,83.1,1.8262,3
06001441522,06,001,441522,85.3,2.8054,3
06001441523,06,001,441523,81.2,2.5273,2
06001441524,06,001,441524,81.2,1.972,2
06001441601,06,001,441601,82.9,1.9422,3
06001441602,06,001,441602,83.9,1.787,1
06001441700,06,001,441700,85,3.7861,3
06001441800,06,001,441800,84.2,2.1031,3
06001441921,06,001,441921,80.4,1.9887,3
06001441923,06,001,441923,81.6,2.0062,3
06001441924,06,001,441924,83.5,1.9463,3
06001441925,06,001,441925,81.3,2.1907,2
06001441926,06,001,441926,80.5,2.3163,3
06001441927,06,001,441927,79.8,1.602,3
06001442000,06,001,442000,89.1,3.3907,3
06001442100,06,001,442100,88.6,2.4446,3
06001442301,06,001,442301,80.1,2.0181,3
06001442302,06,001,442302,81.2,2.1545,3
06001442400,06,001,442400,83.7,2.2985,3
06001442500,06,001,442500,84.6,2.0696,3
06001442601,06,001,442601,84.7,2.9606,3
06001442602,06,001,442602,83,2.0558,3
06001442700,06,001,442700,84.4,2.151,3
06001442800,06,001,442800,86.4,2.8513,3
06001442900,06,001,442900,84.6,2.2867,3
06001443001,06,001,443001,78.6,1.6424,3
06001443002,06,001,443002,79.4,1.3312,3
06001443102,06,001,443102,81.8,1.1928,2
06001443103,06,001,443103,90,3.8711,3
06001443105,06,001,443105,81.8,1.358,2
06001443301,06,001,443301,81.3,1.7614,3
06001443321,06,001,443321,84,3.9018,3
06001443322,06,001,443322,81.8,1.684,3
06001444100,06,001,444100,85.9,2.1939,3
06001444200,06,001,444200,82.9,2.0358,3
06001444301,06,001,444301,83,2.9319,3
06001444302,06,001,444302,81.3,3.2826,3
06001444400,06,001,444400,83.6,2.5422,3
06001444500,06,001,444500,84,2.5409,3
06001444601,06,001,444601,80.7,1.3301,3
06001444602,06,001,444602,81.3,1.4423,2
06001450102,06,001,450102,80.4,2.1577,2
06001450200,06,001,450200,82.2,2.651,3
06001450300,06,001,450300,83.6,3.3575,3
06001450400,06,001,450400,81.1,1.6048,3
06001450501,06,001,450501,83.5,2.4227,3
06001450502,06,001,450502,82.4,2.2861,3
06001450602,06,001,450602,83.9,1.5031,3
06001450603,06,001,450603,80.8,1.4762,3
06001450604,06,001,450604,86.5,2.6268,3
06001450605,06,001,450605,83.1,1.9263,3
06001450606,06,001,450606,83,1.2769,3
06001450607,06,001,450607,82.8,1.8551,3
06001450701,06,001,450701,87.4,3.1672,3
06001450741,06,001,450741,83.8,1.5325,3
06001450742,06,001,450742,85.4,1.9863,3
06001450743,06,001,450743,81.3,1.5372,2
06001450744,06,001,450744,83.9,2.9237,3
06001450746,06,001,450746,81.8,1.4613,3
06001450750,06,001,450750,81.7,2.6256,3
06001450751,06,001,450751,81.3,1.7593,2
06001451101,06,001,451101,80.7,1.4664,3
06001451102,06,001,451102,82.8,1.765,3
06001451201,06,001,451201,78.9,1.5309,3
06001451202,06,001,451202,79.8,2.1724,3
06001451300,06,001,451300,81.9,2.5822,3
06001451401,06,001,451401,82.3,1.4736,2
06001451403,06,001,451403,78.6,1.5545,3
06001451404,06,001,451404,79.9,2.5551,3
06001451501,06,001,451501,81.9,1.7341,3
06001451503,06,001,451503,80.5,1.6313,3
06001451504,06,001,451504,81.4,1.6416,2
06001451505,06,001,451505,82.3,2.0959,2
06001451506,06,001,451506,78.3,3.2654,3
06001451601,06,001,451601,82.5,1.3516,3
06001451602,06,001,451602,80.9,1.1529,1
06001451701,06,001,451701,79.9,2.1163,3
06001451703,06,001,451703,83.4,2.1707,3
06001451704,06,001,451704,81.3,1.6034,3
06003010000,06,003,010000,80.4,2.5262,2
06005000101,06,005,000101,76.8,2.6804,3
06005000102,06,005,000102,79.8,1.5126,2
06005000200,06,005,000200,79.6,1.8333,3
06005000301,06,005,000301,82.3,1.3326,3
06005000303,06,005,000303,84.4,2.058,3
06005000304,06,005,000304,77.3,1.9997,3
06005000401,06,005,000401,76.8,1.2661,3
06005000402,06,005,000402,77.8,1.1316,3
06005000500,06,005,000500,78,1.7494,3
06007000102,06,007,000102,79.9,1.5924,3
06007000103,06,007,000103,84.5,3.4605,3
06007000104,06,007,000104,79.6,1.3265,3
06007000201,06,007,000201,78.1,1.2708,2
06007000202,06,007,000202,74.7,1.2554,3
06007000300,06,007,000300,73.7,1.2037,3
06007000401,06,007,000401,79.9,2.834,3
06007000402,06,007,000402,80,1.1603,3
06007000501,06,007,000501,80.8,2.2291,3
06007000502,06,007,000502,74.5,2.3547,3
06007000601,06,007,000601,79,1.2935,3
06007000603,06,007,000603,79.1,1.6558,2
06007000604,06,007,000604,76.7,2.2638,2
06007000700,06,007,000700,78.7,1.4495,3
06007000800,06,007,000800,81.3,1.4683,3
06007000901,06,007,000901,84.6,3.3221,3
06007000903,06,007,000903,75.9,1.1481,3
06007000904,06,007,000904,80.5,1.2569,3
06007001100,06,007,001100,78.5,1.9734,3
06007001200,06,007,001200,75.1,1.5172,3
06007001300,06,007,001300,77.5,2.502,3
06007001400,06,007,001400,78.9,1.2988,3
06007001500,06,007,001500,82.4,2.0159,3
06007001600,06,007,001600,86,3.9186,3
06007001702,06,007,001702,77.7,1.668,3
06007001703,06,007,001703,77,1.6332,3
06007001704,06,007,001704,73.7,3.2345,3
06007001800,06,007,001800,75.6,1.3749,1
06007002000,06,007,002000,78.5,1.3627,1
06007002100,06,007,002100,76.4,1.3943,3
06007002200,06,007,002200,79.8,0.9047,2
06007002300,06,007,002300,76.5,1.1585,3
